Year,kms Driven,Fuel Type,Suspension,Price,Car Model
2008,123000,Petrol,Manual,165000.0,Honda City GXi
2012,81572,Petrol,Manual,300000.0,Honda City S
2013,114565,Diesel,Manual,212000.0,Honda Amaze S
2017,59835,Diesel,Manual,470000.0,Honda WR-V i-DTEC
2015,71773,Diesel,Manual,430000.0,Honda City i
2009,107124,Petrol,Automatic,175000.0,Honda City 1.5
2005,59124,Petrol,Manual,151000.0,Honda City 1.5
2004,101752,Petrol,Automatic,317000.0,Honda CR-V 2.4
2013,75245,Petrol,Manual,225000.0,Honda Brio VX
2008,125051,Petrol,Manual,120000.0,Honda City GXi
2014,97285,Diesel,Manual,394000.0,Honda City i
2019,21744,Petrol,Manual,550000.0,Honda Amaze S
2018,22000,Petrol,Automatic,700000.0,Honda City i-VTEC
2014,56000,Petrol,Manual,545000.0,Honda City i
2015,64000,Diesel,Manual,549000.0,Honda City i
2017,30000,Petrol,Automatic,890000.0,Honda City i
2019,22000,Petrol,Manual,790000.0,Honda WR-V Edge
2016,35620,Petrol,Manual,750000.0,Honda City i
2018,24530,Petrol,Manual,760000.0,Honda Jazz 1.2
2021,4001,Petrol,Automatic,950000.0,Honda Amaze VX
2019,30935,Petrol,Manual,740000.0,Honda Jazz 1.2
2015,35200,Petrol,Automatic,625000.0,Honda Jazz V
2015,103522,Petrol,Automatic,550000.0,Honda City i
2015,28451,Diesel,Manual,700000.0,Honda City i
2011,119822,Petrol,Manual,237000.0,Honda City 1.5
2018,21644,Petrol,Automatic,650000.0,Honda Amaze V
2010,59556,Petrol,Manual,195000.0,Honda City 1.5
2014,84107,Diesel,Manual,265000.0,Honda Amaze E
2012,65577,Petrol,Manual,315000.0,Honda Jazz X
2015,32191,Petrol,Manual,475000.0,Honda City i
2016,59235,Diesel,Manual,711000.0,Honda BR-V i-DTEC
2019,22700,Petrol,Automatic,750000.0,Honda Amaze V
2015,29000,Petrol,Automatic,1295000.0,Honda CR-V 2.4L
2021,5317,Petrol,Manual,1139000.0,Honda City V
2020,60714,Petrol,Manual,690000.0,Honda Amaze S
2014,119824,Diesel,Manual,296000.0,Honda Amaze S
2015,69204,Petrol,Manual,560000.0,Honda City i
2015,72900,Diesel,Manual,575000.0,Honda Jazz 1.5
2016,55000,Petrol,Manual,425000.0,Honda Amaze S
2013,37000,Petrol,Manual,299000.0,Honda Brio VX
2015,50500,Diesel,Manual,649000.0,Honda City i
2014,59000,Petrol,Automatic,1050000.0,Honda CR-V 2.4L
2017,25000,Petrol,Manual,598000.0,Honda WR-V i-VTEC
2011,67000,Petrol,Automatic,325000.0,Honda City 1.5
2015,81000,Petrol,Manual,393000.0,Honda Amaze S
2017,97526,Diesel,Manual,635000.0,Honda WR-V i-DTEC
2012,65865,Petrol,Manual,239000.0,Honda Brio S
2010,89191,Petrol,Manual,261000.0,Honda City 1.5
2008,74139,Petrol,Automatic,313000.0,Honda CR-V 2.4
2021,28183,Diesel,Manual,850000.0,Honda Amaze S
2017,28419,Petrol,Automatic,850000.0,Honda City i-VTEC
2010,67000,Petrol,Manual,390000.0,Honda Accord 2.4
2017,45556,Petrol,Manual,500000.0,Honda Amaze S
2015,74000,Petrol,Automatic,1175000.0,Honda CR-V 2.4L
2013,48000,Petrol,Manual,245000.00000000003,Honda Amaze EX
2014,59218,Petrol,Manual,550000.0,Honda City i
2014,74000,Petrol,Manual,389000.0,Honda Amaze S
2019,32000,Petrol,Automatic,1025000.0,Honda City i-VTEC
2013,45000,Petrol,Manual,375000.0,Honda City S
2014,82709,Diesel,Manual,275000.0,Honda Amaze S
2017,14073,Petrol,Manual,670000.0,Honda Jazz 1.2
2010,120023,Petrol,Automatic,240000.0,Honda City 1.5
2017,31238,Petrol,Automatic,500000.0,Honda Jazz 1.2
2015,65000,Petrol,Automatic,525000.0,Honda Jazz V
2015,48000,Petrol,Automatic,765000.0,Honda City i
2017,42000,Diesel,Manual,740000.0,Honda BR-V i-DTEC
2013,54000,Diesel,Manual,465000.00000000006,Honda Amaze S
2014,33000,Petrol,Automatic,575000.0,Honda City i
2020,64092,Petrol,Manual,1000000.0,Honda City V
2015,80000,Diesel,Manual,480000.0,Honda Amaze SX
2009,127986,Petrol,Manual,300000.0,Honda City 1.5
2015,30041,Petrol,Manual,480000.0,Honda Amaze S
2015,51000,Petrol,Manual,455999.99999999994,Honda Jazz 1.2
2015,94670,Petrol,Automatic,600000.0,Honda City i
2016,92000,Diesel,Manual,650000.0,Honda Jazz 1.5
2017,15500,Petrol,Manual,750000.0,Honda WR-V i-VTEC
2015,31135,Petrol,Manual,480000.0,Honda Amaze S
2017,14453,Petrol,Automatic,670000.0,Honda Jazz V
2013,48219,Petrol,Manual,250000.0,Honda Brio S
2017,34721,Petrol,Manual,550000.0,Honda Amaze S
2022,5000,Petrol,Manual,1080000.0,Honda City V
2016,50900,Petrol,Manual,660000.0,Honda City i
2015,85291,Petrol,Manual,600000.0,Honda City i
2015,55000,Petrol,Manual,530000.0,Honda City V
2017,72718,Diesel,Manual,500000.0,Honda WR-V i-DTEC
2017,27000,Petrol,Manual,511000.00000000006,Honda Jazz 1.2
2013,53313,Petrol,Manual,280000.0,Honda Brio S
2009,110000,Petrol,Manual,250000.0,Honda City 1.5
